kernel,accumulators,inv_sqrt,n,nsteps,threads,repeats,force_median_s,force_stdev_s,total_median_s,energy_median_s,speedup_vs_direct,marginal_speedup_gain,ginteractions_s,nominal_gflops_s,max_relative_energy_drift,statuses
direct,1,libm,8192,20,1,5,5.821120426,0.024255356293601545,6.058756906,0.232895603,1.0,0.0,0.2420692253172087,4.841384506344174,4.083561458670819e-08,OK
direct-split2,2,libm,8192,20,1,5,5.659731066,0.003013368473388512,5.881430709,0.220878452,1.0285153761049748,0.028515376104974788,0.24897192032056883,4.979438406411377,4.083561458670819e-08,OK
direct-split4,4,libm,8192,20,1,5,5.697839987,0.0030393449705029673,5.919521479,0.220845552,1.0216363462788132,-0.006688310146818366,0.2473067188996159,4.946134377992318,4.083561458670819e-08,OK
direct-split8,8,libm,8192,20,1,5,5.656611863,0.008691372805582812,5.889195573,0.222481737,1.029082526251457,0.007288483813017832,0.24910920991716626,4.982184198343325,4.083561458670819e-08,OK
direct,1,libm,8192,20,2,5,3.094624246,0.20880762959066707,3.26181593,0.165595018,1.0,0.0,0.45534255534298557,9.106851106859711,4.0835614961873024e-08,OK
direct-split2,2,libm,8192,20,2,5,2.879254345,0.012163851570016277,3.046752601,0.165680399,1.0748005820930695,0.0748005820930695,0.4894024435343866,9.788048870687732,4.08356145867082e-08,OK
direct-split4,4,libm,8192,20,2,5,2.857590172,0.0014648358458868014,3.024974242,0.165780581,1.082948939397458,0.00758127362428529,0.49311273737121464,9.862254747424293,4.0835614961873024e-08,OK
direct-split8,8,libm,8192,20,2,5,2.894600665,0.027718023137479817,3.061975935,0.165651408,1.0691023060343283,-0.012786044530256335,0.4868077759527496,9.736155519054993,4.0835614961873024e-08,OK
direct,1,libm,8192,20,4,5,1.743009079,0.008529385641672955,1.842055106,0.097345617,1.0,0.0,0.8084376203068533,16.168752406137067,4.08356145867082e-08,OK
direct-split2,2,libm,8192,20,4,5,1.595103947,0.05731448352206713,1.69346477,0.098764459,1.0927244473804816,0.09272444738048158,0.8833995518913978,17.667991037827957,4.08356145867082e-08,OK
direct-split4,4,libm,8192,20,4,5,1.594306756,0.05676433940610118,1.694039669,0.097919187,1.0932708353899743,0.0005000235977170586,0.8838412725135564,17.676825450271128,4.083561458670819e-08,OK
direct-split8,8,libm,8192,20,4,5,1.592579669,0.002604185410256065,1.692645256,0.097084352,1.0944564425429695,0.0010844587769254233,0.8847997619389425,17.69599523877885,4.083561458670819e-08,OK
direct,1,libm,8192,20,8,5,0.89852495,0.05634036572195676,0.96994043,0.067338686,1.0,0.0,1.5682526255948708,31.365052511897417,4.08356145867082e-08,OK
direct-split2,2,libm,8192,20,8,5,0.805494532,0.03048311781510878,0.875900676,0.062665642,1.1154947852582071,0.11549478525820711,1.7493776258185698,34.987552516371395,4.0835614961873024e-08,OK
direct-split4,4,libm,8192,20,8,5,0.796615579,0.029898793410515764,0.868363696,0.067077952,1.1279279161574116,0.01114584403577168,1.7688759159956122,35.37751831991224,4.0835614961873024e-08,OK
direct-split8,8,libm,8192,20,8,5,0.780765372,0.022960682671647244,0.844173149,0.0606718,1.150825820692263,0.020300858066231164,1.8047856149030135,36.09571229806027,4.0835614961873024e-08,OK
