mode,ranks,threads,workers,n,nlocal,native_total_median_s,native_total_stdev_s,container_total_median_s,container_total_stdev_s,overhead_percent,native_comm_fraction,container_comm_fraction,native_max_drift,container_max_drift,status
strong,1,1,1,32768,32768,377.476773988,1.5756748461468861,373.803578272,0.22574191331880078,-0.9730918480607698,0.0,0.0,1.8487208224111287e-07,1.8487208224111287e-07,OK/OK
strong,2,1,2,32768,16384,192.136294481,0.05178828746332845,187.832592257,0.0877287960650241,-2.2399215284260587,0.0036768463912988606,0.0007900244106569307,1.8487208071944235e-07,1.8487208071944235e-07,OK/OK
strong,4,1,4,32768,8192,96.45322879,0.07056160996270174,94.165248457,0.044842801842506025,-2.3721137816769544,0.012579310337465791,0.009507113406160722,1.8487208109986004e-07,1.8487208109986004e-07,OK/OK
strong,8,1,8,32768,4096,48.498849965,0.009671772272635269,47.26000793,0.01372634722945299,-2.5543740437021234,0.019078823738454806,0.015797588081361117,1.8487208071944243e-07,1.8487208071944243e-07,OK/OK
strong,16,1,16,32768,2048,24.492627202,0.008467962508703375,23.766715283,0.01859109529522711,-2.963797689047931,0.025549419579982875,0.022695869689061735,1.8487208033902477e-07,1.8487208033902477e-07,OK/OK
strong,32,1,32,32768,1024,12.52937485,0.044830755279018614,12.16479673,0.007645712845998441,-2.9097869954780586,0.044048250978778875,0.04392376632831743,1.8487208033902477e-07,1.8487208033902477e-07,OK/OK
weak,1,1,1,8192,8192,23.332343845,0.03656462171888179,23.350336488,0.0019048726613952196,0.07711459731403192,0.0,0.0,8.988769099381327e-08,8.988769099381327e-08,OK/OK
weak,2,1,2,16384,8192,46.981597998,0.055411137216930126,46.961640912,0.0027094014062796303,-0.042478516803212685,0.0011844530490931558,0.002577227491407211,1.0344042348052176e-07,1.0344042348052176e-07,OK/OK
weak,4,1,4,32768,8192,94.373261237,0.032591716634938296,94.132828113,0.026091536005485128,-0.2547682689445163,0.010129584857720328,0.010043266668511339,1.8487208109986004e-07,1.8487208109986004e-07,OK/OK
weak,8,1,8,65536,8192,190.051069759,0.027470874396855655,188.54324898,0.047303964155031436,-0.7933766334028314,0.019232816840416153,0.013947956663666909,9.64840098159314e-07,9.64840098159314e-07,OK/OK
weak,16,1,16,131072,8192,386.723008665,1.094675625597597,377.915698899,0.16230385226002045,-2.2774206780205697,0.01730973074529103,0.017202934199188946,3.576959530231172e-06,3.576959530231172e-06,OK/OK
