kernel,n,nsteps,force_evaluations,threads,repeats,interactions_per_force_eval,total_interactions,approx_flops,sqrt_count,division_count,force_median_s,force_stdev_s,total_median_s,energy_median_s,approx_mflop_s,speedup_vs_direct,ideal_half_time_s,half_time_ratio,overhead_vs_half_time_s,overhead_vs_half_time_percent,max_relative_energy_drift,statuses
direct,8192,20,21,1,5,67100672,1409114112,28182282240.0,1409114112,1409114112,5.865156795,0.00817301964979553,6.086625726,0.220673157,4805.034754403357,1.0,0.0,0.0,0.0,0.0,4.083561458670819e-08,OK
newton,8192,20,21,1,5,33550336,704557056,16204812288.0,704557056,704557056,3.510820978,0.003257827291999592,3.732142654,0.220658767,4615.67604544489,1.6705940951569647,2.9325783975,1.1971788992897674,0.5782425805,19.71788992897674,4.083561458670819e-08,OK
newton-atomic,8192,20,21,1,5,33550336,704557056,16204812288.0,704557056,704557056,8.407843452,0.01161716844761544,8.642098984,0.220777239,1927.3446729250543,0.6975815889632004,2.9325783975,2.8670481441067768,5.4752650544999995,186.70481441067767,4.083561458670819e-08,OK
direct,8192,20,21,2,5,67100672,1409114112,28182282240.0,1409114112,1409114112,3.119742854,0.1599097109160975,3.286656599,0.165464046,9033.52729981123,1.0,0.0,0.0,0.0,0.0,4.083561458670819e-08,OK
newton,8192,20,21,2,5,33550336,704557056,16204812288.0,704557056,704557056,3.553018409,0.022864434273220834,3.719793455,0.165553737,4560.8579586731885,0.8780542330142485,1.559871427,2.2777636332715514,1.9931469819999998,127.77636332715514,4.083561458670819e-08,OK
newton-atomic,8192,20,21,2,5,33550336,704557056,16204812288.0,704557056,704557056,8.587850314,0.07467577956965077,8.754522637,0.165519348,1886.9462898745162,0.3632740138605075,1.559871427,5.505486006956649,7.027978887000001,450.5486006956649,4.0835614961873024e-08,OK
direct,8192,20,21,4,5,67100672,1409114112,28182282240.0,1409114112,1409114112,1.734898513,0.03608057063635688,1.833704242,0.097004883,16244.340535670284,1.0,0.0,0.0,0.0,0.0,4.0835614961873024e-08,OK
newton,8192,20,21,4,5,33550336,704557056,16204812288.0,704557056,704557056,3.51041046,0.0009480712028437855,3.635550885,0.123289342,4616.215816540154,0.4942152870066368,0.8674492565,4.04681937726694,2.6429612035,304.68193772669395,4.0835614961873024e-08,OK
newton-atomic,8192,20,21,4,5,33550336,704557056,16204812288.0,704557056,704557056,7.214136846,0.03704012124772335,7.315422481,0.099429449,2246.2579562771994,0.24048594447746635,0.8674492565,8.316494356232122,6.3466875895,731.6494356232122,4.083561458670819e-08,OK
direct,8192,20,21,8,5,67100672,1409114112,28182282240.0,1409114112,1409114112,0.893647441,0.0021444782533773074,0.956220362,0.059808563,31536.242311021175,1.0,0.0,0.0,0.0,0.0,4.08356145867082e-08,OK
newton,8192,20,21,8,5,33550336,704557056,16204812288.0,704557056,704557056,3.520836594,0.025836923936128436,3.617377793,0.092486979,4602.545973197188,0.253816789601341,0.4468237205,7.879699381358156,3.0740128735,687.9699381358156,4.08356145867082e-08,OK
newton-atomic,8192,20,21,8,5,33550336,704557056,16204812288.0,704557056,704557056,6.265592219,0.018729602397052094,6.329304688,0.059132551,2586.3177368709,0.14262776921390966,0.4468237205,14.022514767095942,5.8187684985,1302.251476709594,4.083561458670819e-08,OK
