inv_sqrt,force_kernel,n,nsteps,threads,repeats,force_median_s,force_stdev_s,total_median_s,energy_median_s,speedup_vs_libm,max_relative_energy_drift,drift_ratio_vs_libm,drift_delta_vs_libm,drift_percent_change_vs_libm,statuses
libm,direct,8192,20,1,5,5.862448958,0.01386936911904675,6.100692548,0.23742907,1.0,4.083561458670819e-08,1.0,0.0,0.0,OK
rsqrt1,direct,8192,20,1,5,7.08084672,0.009349692825960204,7.302041271,0.220736794,0.8279304989672195,4.085351538929159e-08,1.0004383625118556,1.7900802583399573e-11,0.04383625118555834,OK
rsqrt2,direct,8192,20,1,5,8.300958443,0.007866309979134827,8.522460873,0.220600134,0.7062375987370064,4.083561458670819e-08,1.0,0.0,0.0,OK
rsqrt3,direct,8192,20,1,5,9.747787482,0.008197844577420812,9.969357871,0.220710805,0.6014132918701233,4.083561458670819e-08,1.0,0.0,0.0,OK
libm,direct,8192,20,2,5,3.1285706,0.10299398959830205,3.29566074,0.16544869,1.0,4.08356145867082e-08,1.0,0.0,0.0,OK
rsqrt1,direct,8192,20,2,5,3.652708137,0.10965140873651472,3.819824013,0.165343761,0.8565071400885377,4.085351538929159e-08,1.0004383625118554,1.7900802583386338e-11,0.043836251185536135,OK
rsqrt2,direct,8192,20,2,5,4.192290323,0.21097870717534947,4.359471165,0.1654739,0.7462676386785153,4.08356145867082e-08,1.0,0.0,0.0,OK
rsqrt3,direct,8192,20,2,5,4.921099459,0.09015988259483011,5.089112576,0.165467761,0.6357462648470321,4.083561458670819e-08,0.9999999999999997,-1.3234889800848443e-23,-3.3306690738754696e-14,OK
libm,direct,8192,20,4,5,1.74503039,0.09739583782722143,1.850866476,0.096942705,1.0,4.0835614961873024e-08,1.0,0.0,0.0,OK
rsqrt1,direct,8192,20,4,5,2.018334432,0.09328014856729488,2.118766279,0.096545531,0.8645893179708684,4.085351538929159e-08,1.0004383533206314,1.7900427418564278e-11,0.043835332063135724,OK
rsqrt2,direct,8192,20,4,5,2.550691409,0.20021537036003792,2.653176963,0.096996894,0.684140144841802,4.083561458670819e-08,0.9999999908128031,-3.751648352953348e-16,-9.187196892135319e-07,OK
rsqrt3,direct,8192,20,4,5,2.882895526,0.010283310857871222,2.984252775,0.096993233,0.6053047619180356,4.0835614961873024e-08,1.0,0.0,0.0,OK
libm,direct,8192,20,8,5,0.894668666,0.055731325237386824,0.965130229,0.065547486,1.0,4.08356145867082e-08,1.0,0.0,0.0,OK
rsqrt1,direct,8192,20,8,5,1.02836685,0.04504844605721733,1.090208648,0.059805236,0.8699897959565693,4.085351538929159e-08,1.0004383625118554,1.7900802583386338e-11,0.043836251185536135,OK
rsqrt2,direct,8192,20,8,5,1.290442857,0.10459421681248253,1.347460957,0.059531924,0.6933035904277938,4.08356145867082e-08,1.0,0.0,0.0,OK
rsqrt3,direct,8192,20,8,5,1.476621368,0.01017939046069111,1.547557358,0.062200163,0.605889014874394,4.0835614961873024e-08,1.0000000091871966,3.75164822060445e-16,9.187196559068411e-07,OK
