backend,mode,n,nlocal,ranks,threads,total_workers,repeats,total_median_s,total_stdev_s,force_median_s,force_stdev_s,communication_median_s,communication_fraction,runtime_over_ideal,integration_median_s,energy_median_s,initial_acceleration_median_s,speedup,parallel_efficiency,force_speedup,force_efficiency,max_relative_energy_drift,statuses,baseline
container,strong,32768,32768,1,1,1,5,373.803578272,0.22574191331880078,369.693787898,0.22578086464270056,0.0,0.0,1.0,368.121080822,4.056274527,3.653106026,1.0,1.0,1.0,1.0,1.8487208224111287e-07,OK,yes
container,strong,32768,16384,2,1,2,5,187.832592257,0.0877287960650241,184.918996483,0.0868873073798362,0.148392333,0.0007900244106569307,1.004980172342399,184.597793082,2.793654727,1.828263782,1.9900890137348854,0.9950445068674427,1.9992201716927807,0.9996100858463903,1.8487208071944235e-07,OK,no
container,strong,32768,8192,4,1,4,5,94.165248457,0.044842801842506025,92.429612393,0.04294827546363091,0.895239696,0.009507113406160722,1.0076441631971773,92.434383295,1.58992851,0.914904777,3.9696553069967755,0.9924138267491939,3.9997331842754553,0.9999332960688638,1.8487208109986004e-07,OK,no
container,strong,32768,4096,8,1,8,5,47.26000793,0.01372634722945299,46.26243873,0.00774388058580585,0.746594138,0.015797588081361117,1.0114404607568743,46.358414056,0.844918039,0.458622876,7.909511543579633,0.9886889429474541,7.9912299923407,0.9989037490425875,1.8487208071944243e-07,OK,no
container,strong,32768,2048,16,1,16,5,23.766715283,0.01859109529522711,23.142149607,0.022540744720110518,0.539406273,0.022695869689061735,1.0172921465489464,23.295362748,0.437320717,0.230231156,15.728028624105935,0.9830017890066209,15.974911327432418,0.9984319579645261,1.8487208033902477e-07,OK,no
container,strong,32768,1024,32,1,32,5,12.16479673,0.007645712845998441,11.587451529,0.004231071090560847,0.534323689,0.04392376632831743,1.0413851498145459,11.893349352,0.234539541,0.117607422,30.728304514135516,0.9602595160667349,31.904667473496186,0.9970208585467558,1.8487208033902477e-07,OK,no
native,strong,32768,32768,1,1,1,5,377.476773988,1.5756748461468861,373.339285742,1.5027311614651129,0.0,0.0,1.0,371.75555827,4.079881702,3.67973239,1.0,1.0,1.0,1.0,1.8487208224111287e-07,OK,yes
native,strong,32768,16384,2,1,2,5,192.136294481,0.05178828746332845,189.162516873,0.052085253792150434,0.706455641,0.0036768463912988606,1.0180032665379726,188.830693477,2.855215709,1.869385291,1.9646302381736,0.9823151190868,1.973643044687615,0.9868215223438075,1.8487208071944235e-07,OK,no
native,strong,32768,8192,4,1,4,5,96.45322879,0.07056160996270174,94.68683566,0.0750781649643509,1.213315098,0.012579310337465791,1.0220838518988324,94.682554357,1.626967981,0.936859684,3.9135732284281572,0.9783933071070393,3.9428848069501536,0.9857212017375384,1.8487208109986004e-07,OK,no
native,strong,32768,4096,8,1,8,5,48.498849965,0.009671772272635269,47.512194942,0.005386458870351364,0.92530101,0.019078823738454806,1.0278534375000625,47.573885868,0.866228873,0.470592374,7.783210823770304,0.972901352971288,7.8577570705321005,0.9822196338165126,1.8487208071944243e-07,OK,no
native,strong,32768,2048,16,1,16,5,24.492627202,0.008467962508703375,23.874196825,0.0015335423174439964,0.625772409,0.025549419579982875,1.0381619803830844,24.007413249,0.45056883,0.237342173,15.411853161966073,0.9632408226228796,15.637773638150444,0.9773608523844027,1.8487208033902477e-07,OK,no
native,strong,32768,1024,32,1,32,5,12.52937485,0.044830755279018614,11.955647443,0.05076042932733593,0.551897048,0.044048250978778875,1.0621580527037828,12.255773117,0.243043311,0.121803714,30.127343024460632,0.9414794695143948,31.227023674120566,0.9758444898162677,1.8487208033902477e-07,OK,no
