backend,mode,n,nlocal,ranks,threads,total_workers,repeats,total_median_s,total_stdev_s,force_median_s,force_stdev_s,communication_median_s,communication_fraction,runtime_over_ideal,integration_median_s,energy_median_s,initial_acceleration_median_s,speedup,parallel_efficiency,force_speedup,force_efficiency,max_relative_energy_drift,statuses,baseline
container,weak,8192,8192,1,1,1,5,23.306444352,0.029973586392339924,23.047909648,0.029835716021940024,0.0,0.0,1.0,22.950840931,0.25352336,0.228291981,1.0,1.0,1.0,1.0,8.988769099381327e-08,OK,yes
container,weak,16384,8192,2,1,2,5,46.887982609,0.035288935960851274,46.15930964,0.035248064840585396,0.034364882,0.0007329144929644248,1.0059016703887822,46.080483022,0.698778398,0.456876755,1.9882659099541982,0.9941329549770991,1.99724907740193,0.998624538700965,1.0344042348052176e-07,OK,no
container,weak,32768,8192,4,1,4,5,94.104481658,0.04002204340237888,92.433454989,0.033993979922653586,0.924195967,0.009820955928100927,1.0094255502547795,92.393717514,1.588462579,0.914065224,3.9626498447462497,0.9906624611865624,3.9895355465386957,0.9973838866346739,1.8487208109986004e-07,OK,no
container,weak,65536,8192,8,1,8,5,188.446927335,0.01608961314138235,184.901499006,0.020884380053085575,2.547933623,0.013520696033799304,1.0107018282629454,184.925197298,3.369124671,1.832920508,7.9152919053775666,0.9894114881721958,7.977578469626872,0.997197308703359,9.64840098159314e-07,OK,no
container,weak,131072,8192,16,1,16,5,377.597032187,0.11739553559383617,370.097849137,0.10306593062435972,6.246182234,0.016541926184702266,1.0125875125032673,370.448240299,6.938480129,3.669284549,15.801103413220666,0.9875689633262916,15.942445717115975,0.9964028573197484,3.576959530231172e-06,OK,no
native,weak,8192,8192,1,1,1,5,23.371717921,0.046075992386875125,23.112520967,0.043054997940311514,0.0,0.0,1.0,23.015324211,0.254284886,0.229168935,1.0,1.0,1.0,1.0,8.988769099381327e-08,OK,yes
native,weak,16384,8192,2,1,2,5,46.938809978,0.0008550843569309633,46.222833836,0.001501414840572519,0.030073935,0.0006407051012604604,1.004179712776365,46.128490794,0.699218472,0.458009508,1.9916753690137616,0.9958376845068808,2.000095541437716,1.000047770718858,1.0344042348052176e-07,OK,no
native,weak,32768,8192,4,1,4,5,94.07781955,0.05177646739016875,92.439698793,0.04979061595343495,0.86337726,0.009177266906586165,1.0063211855884695,92.346684383,1.587691671,0.914462708,3.974874083229111,0.9937185208072777,4.00044937727559,1.0001123443188975,1.8487208109986004e-07,OK,no
native,weak,65536,8192,8,1,8,5,188.418978784,0.02401179148761149,184.947109679,0.032476252061948575,2.54840527,0.013525204766773756,1.007729616950309,184.877419746,3.369295413,1.832093528,7.9386373739916385,0.9923296717489548,7.9979694976328535,0.9997461872041067,9.64840098159314e-07,OK,no
native,weak,131072,8192,16,1,16,5,377.175699376,0.06852463406619101,370.108398976,0.06707707063428861,5.862609382,0.015543444054585458,1.008632796728165,370.03197286,6.933922865,3.667883273,15.863057449550825,0.9914410905969265,15.98668223667002,0.9991676397918763,3.576959530231172e-06,OK,no
